0,1,2,3,4,5,6,7,8,9,10
whipped/sour cream,meat,bottled water,newspapers,,,,,,,
frankfurter,specialty chocolate,pip fruit,,,,,,,,
spread cheese,yogurt,soda,shopping bags,,,,,,,
beef,sparkling wine,butter milk,misc. beverages,pastry,,,,,,
meat,pip fruit,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
citrus fruit,pot plants,pot plants,,,,,,,,
pickled vegetables,hard cheese,,,,,,,,,
bottled water,soda,,,,,,,,,
frozen meals,dental care,,,,,,,,,
mustard,whipped/sour cream,,,,,,,,,
whole milk,grapes,,,,,,,,,
baking powder,fruit/vegetable juice,,,,,,,,,
sausage,soda,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
root vegetables,pastry,,,,,,,,,
tropical fruit,soda,,,,,,,,,
chicken,onions,,,,,,,,,
berries,UHT-milk,newspapers,,,,,,,,
bottled water,rolls/buns,domestic eggs,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
whole milk,bottled water,,,,,,,,,
light bulbs,whipped/sour cream,,,,,,,,,
processed cheese,rolls/buns,oil,flour,,,,,,,
beverages,bottled water,yogurt,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
frankfurter,tropical fruit,mustard,,,,,,,,
sausage,sliced cheese,,,,,,,,,
ham,cream cheese ,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
female sanitary products,margarine,,,,,,,,,
grapes,butter,,,,,,,,,
domestic eggs,whole milk,artif. sweetener,,,,,,,,
whole milk,frozen meals,,,,,,,,,
tropical fruit,bottled beer,other vegetables,oil,,,,,,,
citrus fruit,brown bread,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
beef,whole milk,,,,,,,,,
ham,chocolate marshmallow,,,,,,,,,
liquor,cream,coffee,,,,,,,,
pip fruit,salty snack,pastry,,,,,,,,
frozen vegetables,domestic eggs,,,,,,,,,
yogurt,condensed milk,yogurt,,,,,,,,
curd,whole milk,,,,,,,,,
pastry,brown bread,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
ham,bottled beer,rolls/buns,,,,,,,,
canned beer,specialty cheese,,,,,,,,,
whole milk,specialty bar,newspapers,,,,,,,,
brown bread,other vegetables,,,,,,,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
beef,canned beer,fruit/vegetable juice,,,,,,,,
nuts/prunes,root vegetables,white wine,pastry,,,,,,,
yogurt,yogurt,,,,,,,,,
brown bread,pastry,canned beer,,,,,,,,
whole milk,canned beer,,,,,,,,,
canned beer,sliced cheese,long life bakery product,pasta,,,,,,,
female sanitary products,pot plants,,,,,,,,,
candy,sausage,other vegetables,frozen vegetables,,,,,,,
coffee,white bread,,,,,,,,,
coffee,rolls/buns,vinegar,,,,,,,,
flower soil/fertilizer,yogurt,specialty chocolate,,,,,,,,
soda,sausage,UHT-milk,soda,rolls/buns,,,,,,
pork,frozen meals,margarine,dessert,,,,,,,
pip fruit,pastry,Instant food products,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
specialty bar,dessert,,,,,,,,,
soda,soda,,,,,,,,,
chicken,margarine,,,,,,,,,
beef,herbs,oil,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
sausage,pip fruit,,,,,,,,,
soda,newspapers,long life bakery product,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
newspapers,bottled water,,,,,,,,,
pork,meat,rolls/buns,onions,frozen vegetables,root vegetables,beverages,,,,
sugar,frozen vegetables,,,,,,,,,
candles,whole milk,,,,,,,,,
coffee,whole milk,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,popcorn,fruit/vegetable juice,,,,,,,,
canned beer,fish,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
tropical fruit,dish cleaner,bottled water,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
pastry,brown bread,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
frozen meals,canned beer,,,,,,,,,
root vegetables,bottled water,napkins,shopping bags,rice,,,,,,
whole milk,other vegetables,soda,long life bakery product,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
pork,other vegetables,yogurt,shopping bags,soft cheese,detergent,,,,,
curd,spices,frozen fish,,,,,,,,
soda,canned beer,soft cheese,waffles,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
beef,white wine,pip fruit,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
beef,whole milk,fruit/vegetable juice,hygiene articles,,,,,,,
pip fruit,soda,,,,,,,,,
beef,frozen meals,white bread,,,,,,,,
liquor,brandy,,,,,,,,,
whipped/sour cream,other vegetables,honey,,,,,,,,
dishes,bottled water,spread cheese,sugar,,,,,,,
pork,berries,,,,,,,,,
ham,tropical fruit,bottled beer,,,,,,,,
chicken,other vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
soda,whole milk,frozen fish,canned beer,ready soups,chocolate,,,,,
sausage,newspapers,newspapers,,,,,,,,
canned beer,yogurt,,,,,,,,,
meat,domestic eggs,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
pork,whole milk,beverages,soda,,,,,,,
soda,whole milk,,,,,,,,,
specialty chocolate,coffee,,,,,,,,,
margarine,rolls/buns,root vegetables,,,,,,,,
soap,candy,,,,,,,,,
sausage,butter,bottled water,,,,,,,,
hamburger meat,margarine,,,,,,,,,
whole milk,white bread,cream cheese ,,,,,,,,
soda,rolls/buns,soda,,,,,,,,
newspapers,pip fruit,dishes,,,,,,,,
red/blush wine,berries,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,whole milk,,,,,,,,,
pip fruit,hard cheese,bottled water,,,,,,,,
pork,dessert,,,,,,,,,
rolls/buns,bottled water,white bread,brown bread,,,,,,,
salty snack,chocolate,,,,,,,,,
yogurt,canned beer,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
whole milk,seasonal products,specialty fat,flour,,,,,,,
bottled water,brown bread,,,,,,,,,
root vegetables,chocolate marshmallow,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
pasta,newspapers,,,,,,,,,
specialty chocolate,yogurt,rolls/buns,misc. beverages,,,,,,,
root vegetables,yogurt,chocolate,shopping bags,,,,,,,
meat,cling film/bags,whipped/sour cream,,,,,,,,
frankfurter,hair spray,,,,,,,,,
tropical fruit,soda,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
baking powder,bottled water,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
candy,roll products ,frozen vegetables,,,,,,,,
beverages,root vegetables,candles,,,,,,,,
butter,frozen meals,,,,,,,,,
chicken,sliced cheese,,,,,,,,,
fruit/vegetable juice,salty snack,candy,dental care,butter,,,,,,
butter milk,yogurt,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,curd cheese,root vegetables,semi-finished bread,,,,,,,
whole milk,curd,,,,,,,,,
meat,domestic eggs,,,,,,,,,
whole milk,sugar,,,,,,,,,
frankfurter,pip fruit,whole milk,other vegetables,salty snack,whipped/sour cream,,,,,
dessert,rolls/buns,,,,,,,,,
whole milk,specialty chocolate,bottled beer,canned beer,rolls/buns,,,,,,
pork,rolls/buns,,,,,,,,,
zwieback,white bread,,,,,,,,,
chicken,whole milk,canned beer,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
tropical fruit,pork,coffee,canned beer,shopping bags,chocolate,,,,,
root vegetables,margarine,,,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
dessert,meat,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
processed cheese,hamburger meat,whole milk,,,,,,,,
yogurt,roll products ,,,,,,,,,
hard cheese,margarine,rolls/buns,,,,,,,,
rolls/buns,curd,,,,,,,,,
beef,coffee,,,,,,,,,
whipped/sour cream,sparkling wine,bottled beer,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
fruit/vegetable juice,citrus fruit,pastry,tropical fruit,margarine,,,,,,
sausage,sausage,frozen vegetables,pastry,,,,,,,
soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags,,
canned beer,semi-finished bread,,,,,,,,,
pot plants,frozen potato products,,,,,,,,,
ham,other vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
onions,rolls/buns,,,,,,,,,
margarine,UHT-milk,brown bread,,,,,,,,
pip fruit,napkins,,,,,,,,,
pastry,curd,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
soda,other vegetables,,,,,,,,,
yogurt,specialty chocolate,specialty bar,,,,,,,,
margarine,yogurt,,,,,,,,,
pip fruit,salty snack,,,,,,,,,
liver loaf,canned beer,candy,,,,,,,,
whipped/sour cream,baking powder,,,,,,,,,
softener,soda,,,,,,,,,
pork,soda,brandy,sausage,rolls/buns,whole milk,yogurt,frozen dessert,shopping bags,,
domestic eggs,specialty bar,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
sausage,curd,yogurt,,,,,,,,
ice cream,bottled beer,,,,,,,,,
hamburger meat,soft cheese,yogurt,margarine,,,,,,,
yogurt,pastry,,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
canned beer,canned beer,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
yogurt,bottled beer,sugar,,,,,,,,
beef,liquor (appetizer),frozen vegetables,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
grapes,frozen vegetables,,,,,,,,,
red/blush wine,pork,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
coffee,detergent,rolls/buns,pasta,,,,,,,
cat food,ham,whipped/sour cream,canned beer,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
curd cheese,canned beer,,,,,,,,,
whole milk,brown bread,,,,,,,,,
sauces,shopping bags,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
beef,brown bread,,,,,,,,,
whole milk,margarine,,,,,,,,,
bottled beer,pastry,,,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
long life bakery product,pip fruit,oil,,,,,,,,
canned beer,candy,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
margarine,domestic eggs,,,,,,,,,
dessert,whole milk,,,,,,,,,
sugar,soda,,,,,,,,,
canned beer,curd,coffee,flour,,,,,,,
UHT-milk,specialty vegetables,,,,,,,,,
other vegetables,zwieback,oil,,,,,,,,
yogurt,shopping bags,,,,,,,,,
pet care,sliced cheese,,,,,,,,,
white bread,hygiene articles,,,,,,,,,
herbs,yogurt,misc. beverages,,,,,,,,
whole milk,yogurt,softener,,,,,,,,
citrus fruit,hard cheese,butter,soft cheese,,,,,,,
yogurt,whipped/sour cream,long life bakery product,hard cheese,,,,,,,
sausage,chicken,,,,,,,,,
frankfurter,butter,,,,,,,,,
root vegetables,coffee,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
domestic eggs,sugar,,,,,,,,,
coffee,sausage,salt,white wine,,,,,,,
whole milk,brown bread,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
citrus fruit,tropical fruit,soda,bottled water,,,,,,,
cat food,roll products ,,,,,,,,,
sausage,UHT-milk,female sanitary products,rolls/buns,,,,,,,
hamburger meat,salt,,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
whipped/sour cream,other vegetables,pot plants,,,,,,,,
domestic eggs,root vegetables,semi-finished bread,curd,,,,,,,
spread cheese,coffee,domestic eggs,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
spread cheese,other vegetables,,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
fruit/vegetable juice,hard cheese,,,,,,,,,
frozen meals,instant coffee,specialty chocolate,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
whole milk,bathroom cleaner,,,,,,,,,
soda,butter milk,whipped/sour cream,,,,,,,,
rolls/buns,curd,,,,,,,,,
other vegetables,napkins,newspapers,,,,,,,,
frozen meals,sausage,flour,curd,whipped/sour cream,,,,,,
canned beer,other vegetables,,,,,,,,,
berries,condensed milk,,,,,,,,,
tropical fruit,soda,spices,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
misc. beverages,other vegetables,specialty chocolate,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
coffee,tropical fruit,,,,,,,,,
root vegetables,packaged fruit/vegetables,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
shopping bags,pork,canned fish,whole milk,onions,bottled beer,canned beer,,,,
flower (seeds),bottled water,,,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
pip fruit,frozen vegetables,bottled water,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
other vegetables,dishes,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
pork,napkins,,,,,,,,,
whipped/sour cream,whole milk,cream cheese ,napkins,,,,,,,
soda,shopping bags,,,,,,,,,
canned beer,newspapers,,,,,,,,,
margarine,yogurt,,,,,,,,,
UHT-milk,rice,newspapers,,,,,,,,
spread cheese,specialty cheese,dish cleaner,,,,,,,,
brandy,whole milk,,,,,,,,,
chicken,pip fruit,curd,,,,,,,,
sausage,citrus fruit,,,,,,,,,
bottled water,whole milk,rolls/buns,,,,,,,,
sausage,sliced cheese,,,,,,,,,
zwieback,curd,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
sausage,mustard,,,,,,,,,
dessert,curd,,,,,,,,,
cake bar,shopping bags,,,,,,,,,
meat,whole milk,,,,,,,,,
white bread,hamburger meat,pastry,frozen meals,,,,,,,
canned beer,tropical fruit,margarine,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
bottled beer,fruit/vegetable juice,fruit/vegetable juice,,,,,,,,
sugar,brown bread,,,,,,,,,
whole milk,chocolate,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
pot plants,newspapers,brown bread,,,,,,,,
pork,light bulbs,waffles,,,,,,,,
meat,oil,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
chicken,other vegetables,frozen meals,,,,,,,,
beef,curd cheese,,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
soda,berries,,,,,,,,,
specialty chocolate,hamburger meat,frozen fish,,,,,,,,
citrus fruit,Instant food products,,,,,,,,,
white wine,newspapers,dog food,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
yogurt,white bread,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
soda,canned beer,,,,,,,,,
bottled beer,root vegetables,,,,,,,,,
frankfurter,canned beer,pastry,yogurt,,,,,,,
other vegetables,pastry,,,,,,,,,
frankfurter,rolls/buns,salt,,,,,,,,
beef,specialty bar,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
tropical fruit,white wine,oil,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
pip fruit,coffee,whole milk,pastry,seasonal products,,,,,,
shopping bags,skin care,,,,,,,,,
pork,canned beer,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
sauces,herbs,,,,,,,,,
citrus fruit,butter milk,cream cheese ,,,,,,,,
bottled water,whole milk,,,,,,,,,
semi-finished bread,rolls/buns,fruit/vegetable juice,tropical fruit,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
curd,semi-finished bread,whole milk,,,,,,,,
canned beer,whole milk,bottled beer,,,,,,,,
condensed milk,margarine,,,,,,,,,
citrus fruit,sauces,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
frankfurter,berries,bottled water,processed cheese,pickled vegetables,,,,,,
bottled water,yogurt,,,,,,,,,
soda,pork,,,,,,,,,
bottled water,cling film/bags,,,,,,,,,
sausage,pastry,mayonnaise,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
candy,spread cheese,,,,,,,,,
dessert,newspapers,white bread,,,,,,,,
tea,pip fruit,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
pork,cereals,,,,,,,,,
chocolate,white wine,,,,,,,,,
finished products,whole milk,,,,,,,,,
other vegetables,butter,red/blush wine,,,,,,,,
ham,bottled beer,,,,,,,,,
domestic eggs,salty snack,herbs,,,,,,,,
whole milk,sauces,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
root vegetables,herbs,cream cheese ,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
pastry,shopping bags,,,,,,,,,
whole milk,yogurt,UHT-milk,specialty chocolate,,,,,,,
whole milk,root vegetables,hygiene articles,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
hamburger meat,brown bread,chewing gum,,,,,,,,
chicken,other vegetables,pastry,onions,,,,,,,
whole milk,soft cheese,pastry,,,,,,,,
UHT-milk,processed cheese,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
ham,citrus fruit,,,,,,,,,
shopping bags,waffles,,,,,,,,,
tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
brown bread,processed cheese,,,,,,,,,
domestic eggs,yogurt,canned beer,,,,,,,,
other vegetables,candy,,,,,,,,,
pip fruit,pork,sausage,dessert,grapes,soda,dessert,yogurt,whole milk,,
canned beer,sugar,,,,,,,,,
dessert,newspapers,bottled water,,,,,,,,
bottled water,napkins,pastry,,,,,,,,
ham,napkins,rice,,,,,,,,
other vegetables,roll products ,,,,,,,,,
whole milk,detergent,yogurt,fruit/vegetable juice,,,,,,,
berries,whole milk,,,,,,,,,
citrus fruit,specialty cheese,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
shopping bags,napkins,,,,,,,,,
hamburger meat,pork,chicken,whole milk,,,,,,,
yogurt,sauces,,,,,,,,,
hamburger meat,sausage,frankfurter,soda,root vegetables,coffee,chewing gum,pastry,,,
napkins,pastry,,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
beverages,soda,curd,liquor,whole milk,margarine,flour,,,,
yogurt,zwieback,,,,,,,,,
nuts/prunes,cream cheese ,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
packaged fruit/vegetables,rolls/buns,root vegetables,napkins,soft cheese,,,,,,
other vegetables,salty snack,,,,,,,,,
chicken,butter milk,sugar,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
coffee,tidbits,,,,,,,,,
butter,other vegetables,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
sausage,coffee,female sanitary products,,,,,,,,
sausage,canned fish,,,,,,,,,
brown bread,hygiene articles,shopping bags,,,,,,,,
bathroom cleaner,whole milk,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
cake bar,soda,,,,,,,,,
ham,brown bread,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
other vegetables,yogurt,yogurt,,,,,,,,
bottled water,cream cheese ,pip fruit,hygiene articles,,,,,,,
tropical fruit,pastry,,,,,,,,,
whole milk,whole milk,citrus fruit,light bulbs,,,,,,,
sausage,pastry,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
misc. beverages,margarine,,,,,,,,,
soda,margarine,,,,,,,,,
cereals,sugar,,,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
whole milk,white wine,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
cream cheese ,frozen vegetables,sugar,coffee,,,,,,,
soda,curd,,,,,,,,,
turkey,shopping bags,whole milk,,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
berries,newspapers,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
ham,soda,specialty chocolate,,,,,,,,
cat food,candy,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
bottled water,coffee,,,,,,,,,
dish cleaner,curd,,,,,,,,,
other vegetables,curd,,,,,,,,,
whole milk,yogurt,,,,,,,,,
frankfurter,margarine,,,,,,,,,
butter milk,long life bakery product,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
rice,whipped/sour cream,,,,,,,,,
sausage,curd,brown bread,,,,,,,,
detergent,rolls/buns,yogurt,,,,,,,,
whole milk,soda,,,,,,,,,
sausage,whipped/sour cream,soda,,,,,,,,
sausage,other vegetables,,,,,,,,,
pork,pork,,,,,,,,,
whole milk,canned beer,,,,,,,,,
dish cleaner,soda,,,,,,,,,
whole milk,cat food,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
yogurt,rolls/buns,fruit/vegetable juice,spices,canned fish,,,,,,
soft cheese,berries,,,,,,,,,
long life bakery product,napkins,,,,,,,,,
butter,sugar,,,,,,,,,
pip fruit,sugar,,,,,,,,,
misc. beverages,instant coffee,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
sausage,soda,newspapers,,,,,,,,
dessert,yogurt,,,,,,,,,
shopping bags,newspapers,curd,hard cheese,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,canned fish,pasta,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
sausage,fruit/vegetable juice,coffee,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
butter milk,whole milk,,,,,,,,,
waffles,fruit/vegetable juice,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
yogurt,canned beer,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
ham,bottled water,margarine,,,,,,,,
liver loaf,rolls/buns,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
tropical fruit,whole milk,fruit/vegetable juice,whole milk,,,,,,,
pork,rum,,,,,,,,,
sausage,house keeping products,,,,,,,,,
sausage,whole milk,popcorn,fruit/vegetable juice,canned fruit,whole milk,soda,,,,
shopping bags,other vegetables,newspapers,domestic eggs,,,,,,,
dessert,sugar,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
bottled water,tropical fruit,whipped/sour cream,,,,,,,,
canned beer,brown bread,,,,,,,,,
newspapers,frozen vegetables,long life bakery product,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
pip fruit,male cosmetics,dishes,dessert,rice,,,,,,
pastry,napkins,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
frozen meals,dessert,,,,,,,,,
soda,soda,,,,,,,,,
whole milk,soda,tea,,,,,,,,
coffee,sliced cheese,whipped/sour cream,butter milk,,,,,,,
root vegetables,other vegetables,,,,,,,,,
meat,root vegetables,margarine,,,,,,,,
seasonal products,bottled beer,,,,,,,,,
onions,root vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
berries,whipped/sour cream,bottled water,,,,,,,,
soda,tropical fruit,,,,,,,,,
fruit/vegetable juice,frozen vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
specialty bar,candy,margarine,,,,,,,,
white bread,newspapers,,,,,,,,,
hard cheese,flower soil/fertilizer,condensed milk,curd,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
softener,salty snack,,,,,,,,,
whole milk,coffee,,,,,,,,,
tropical fruit,candy,,,,,,,,,
roll products ,rice,,,,,,,,,
yogurt,curd,,,,,,,,,
citrus fruit,curd,napkins,,,,,,,,
chicken,margarine,long life bakery product,,,,,,,,
cling film/bags,domestic eggs,domestic eggs,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
chicken,flower soil/fertilizer,,,,,,,,,
sausage,pip fruit,soda,curd,waffles,,,,,,
beef,other vegetables,,,,,,,,,
sugar,whole milk,shopping bags,,,,,,,,
sliced cheese,rolls/buns,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
dessert,yogurt,,,,,,,,,
frankfurter,canned beer,soda,,,,,,,,
other vegetables,rolls/buns,beverages,,,,,,,,
shopping bags,soda,,,,,,,,,
tropical fruit,newspapers,beef,tropical fruit,domestic eggs,detergent,frozen vegetables,grapes,processed cheese,,
ham,beef,sliced cheese,butter milk,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
root vegetables,margarine,,,,,,,,,
salt,canned beer,roll products ,,,,,,,,
napkins,coffee,,,,,,,,,
frozen vegetables,flour,pickled vegetables,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
margarine,root vegetables,,,,,,,,,
whole milk,pastry,salty snack,,,,,,,,
tropical fruit,grapes,chocolate marshmallow,yogurt,red/blush wine,brown bread,,,,,
whole milk,flower soil/fertilizer,,,,,,,,,
chocolate,frankfurter,yogurt,margarine,canned vegetables,,,,,,
whole milk,whole milk,herbs,,,,,,,,
napkins,whole milk,,,,,,,,,
yogurt,chocolate,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
whole milk,packaged fruit/vegetables,abrasive cleaner,napkins,,,,,,,
UHT-milk,pastry,,,,,,,,,
root vegetables,butter,frozen vegetables,butter,,,,,,,
oil,butter,,,,,,,,,
soda,pip fruit,pastry,jam,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
sugar,spread cheese,,,,,,,,,
citrus fruit,butter,,,,,,,,,
ham,misc. beverages,,,,,,,,,
cereals,cream cheese ,other vegetables,,,,,,,,
root vegetables,chocolate,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
finished products,whole milk,,,,,,,,,
sparkling wine,tropical fruit,,,,,,,,,
onions,bottled water,sliced cheese,,,,,,,,
pastry,long life bakery product,,,,,,,,,
chicken,red/blush wine,,,,,,,,,
UHT-milk,other vegetables,other vegetables,bottled water,,,,,,,
whole milk,domestic eggs,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
tropical fruit,turkey,salty snack,,,,,,,,
sausage,frozen meals,instant coffee,,,,,,,,
finished products,yogurt,,,,,,,,,
onions,long life bakery product,,,,,,,,,
shopping bags,salty snack,,,,,,,,,
pastry,pastry,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
pip fruit,spread cheese,misc. beverages,,,,,,,,
packaged fruit/vegetables,liquor,shopping bags,,,,,,,,
canned beer,organic products,whole milk,frozen dessert,misc. beverages,,,,,,
condensed milk,other vegetables,,,,,,,,,
yogurt,tropical fruit,bottled water,yogurt,,,,,,,
photo/film,whipped/sour cream,,,,,,,,,
cream cheese ,coffee,,,,,,,,,
grapes,yogurt,hygiene articles,,,,,,,,
bottled beer,butter,frozen vegetables,whole milk,,,,,,,
whole milk,sugar,,,,,,,,,
bottled water,sausage,yogurt,bottled water,,,,,,,
ham,pickled vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
citrus fruit,butter,rolls/buns,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
